from,to,positive,neutral,negative
Jia Tan,,"[{'message': 'We left this open so others could see this was a known bug. Closing now since the fix is included in 5.6.1. Thank you to everyone for reporting this and verifying it works now :)', 'score': 0.8724028433207422, 'timestamp': '2024-03-11T14:37:01Z', 'file_name': 'issue_88.csv'}]",[],"[{'message': ""\nWe don't have an exact date yet for the next release (5.6.1) since we want to wait for more possible bug reports to come in. It should only be a few weeks though :)\n\nFor this problem, if you need to use the 5.6.0 release you can just add `--disable-sandbox` to the `configure` command. You will not be missing out on the sandbox feature unnecessarily because unfortunately your system cannot support this feature until your system call definitions include `SYS_landlock_create_ruleset` and `SYS_landlock_restrict_self`."", 'score': -0.5616111820563674, 'timestamp': '2024-02-27T12:24:35Z', 'file_name': 'issue_88.csv'}]"
Sam James,,[],"[{'message': ""Please see https://github.com/tukaani-project/xz/commit/6daa4d0ea46a8441f21f609149f3633158bf4704:\n\nI believe (although see if a maintainer confirms) that the threaded compressor is deterministic - it doesn't depend on the thread count and so on, so even with 1 thread, the threaded compressor output is the same. I believe the only difference is that it's chunked / includes sizes so it can be decompressed in parallel.\n\nIt's just that it's different compared to the non-threaded compressor.\n\nBut the non-threaded compressor could've changed output at some point anyway, it just didn't.\n\n`xz(1)` also says:"", 'score': 0.053294360637664795, 'timestamp': '2024-02-24T17:07:38Z', 'file_name': 'issue_85.csv'}]",[]
,Jia Tan,"[{'message': 'Thanks for clearing things up!', 'score': 0.9499307367950678, 'timestamp': '2024-02-25T14:19:57Z', 'file_name': 'issue_85.csv'}]",[],[]
Lasse Collin,,"[{'message': 'Seems to work fine at the moment. The hosting provider had reported that a denial of service attack happened 2-3 days ago.\n\nThe 5.4.2 release is available on GitHub and also on [Sourceforge](https://sourceforge.net/projects/lzmautils/files/). Future release will use github.com as the primary download URL for unrelated reasons.', 'score': 0.2232960145920515, 'timestamp': '2024-01-14T15:44:13Z', 'file_name': 'issue_78.csv'}]",[],[]
,Lasse Collin,[],"[{'message': ""Hello,\n\nHas there been any progress on a prototype for that feature? If not, I'd like to take a stab at it in Java."", 'score': 0.1401216210797429, 'timestamp': '2024-09-25T12:26:10Z', 'file_name': 'issue_50.csv'}]",[]
Lasse Collin,,[],[],"[{'message': 'No progress at least from my side. Feel free to experiment.', 'score': -0.7684330334886909, 'timestamp': '2024-09-25T12:35:25Z', 'file_name': 'issue_50.csv'}]"
,Azrael,[],[],"[{'message': 'There is a live FAQ on this issue:\n\nhttps://gist.github.com/thesamesam/223949d5a074ebc3dce9ee78baad9e27\n\nAnd to quote from the current version of the `People` part:\n\n````\nPeople\n\nWe do not want to speculate on the people behind this project in this document.\nThis is not a productive use of our time, and law enforcement will be able to handle identifying those responsible.\nThey are likely patching their systems too.\n\nxz-utils has two maintainers:\n\n    Lasse Collin (Larzhu) who has maintained xz since the beginning (~2009), and before that, lzma-utils.\n    Jia Tan (JiaT75) who started contributing to xz in the last 2-2.5 years and gained commit access,\n    and then release manager rights, about 1.5 years ago.\n\nLasse regularly has internet breaks and is on one at the moment, started before this all kicked off.\nWe believe CISA may be trying to get in contact with him.\n````', 'score': -0.6209486979059875, 'timestamp': '2024-03-29T21:24:19Z', 'file_name': 'issue_92.csv'}]"
,,[],[],"[{'message': ""why do we need 700 different compression libraries linked to everything?  There's nothing xz does that zlib doesn't for the usecase here.  Saving a handful of bytes on already-tiny files isn't worth requiring everything to use all of: libbz2, liblz4, liblzma, libxz and libzstd.\n\nE: that's a whole lot of anonymous cowards hiding behind shitty reaction emojis because they don't understand the issue."", 'score': -0.9221290845889598, 'timestamp': '2024-03-29T21:25:55Z', 'file_name': 'issue_92.csv'}]"
,Henrik Gaßmann,[],[],"[{'message': 'Whats with chinks always trying to get into my ssh? first it was just the bruteforce loggin attempts, now they want to get in from the inside.', 'score': -0.9216774390079081, 'timestamp': '2024-03-29T22:17:59Z', 'file_name': 'issue_92.csv'}]"
,Tejeev,[],"[{'message': '\nI have no clue what you are trying to say, but on the off chance that you are not in the world of software engineering, here is a screenshot of me making a git commit with UTC+8 (note on the top right, my local time is UTC+11)\n\n![image](https://github.com/tukaani-project/xz/assets/2950544/f9be5494-f71f-42bc-aff7-911ae36abeea)', 'score': -0.008720844984054565, 'timestamp': '2024-03-29T23:11:44Z', 'file_name': 'issue_92.csv'}]",[]
Hakkin Lain,,[],"[{'message': '\nIt\'s interesting to note that the ""Jigar Kumar"" in this thread that is pressuring Lasse to find a replacement maintainer has the same e-mail format (`<firstname><lastname><number>`) as the ""Hans Jansen"" e-mail that was part of the backdoored commits. The PGP key for the Protonmail account (`0xA97B6FC34F5DB756`) was created on `2022-04-26`, and the first message by ""Jigar Kumar"" on the xz-devel mailing list was on `2022-04-27`, one day later.\n\nIt\'s seeming increasingly likely that every step of this process was carefully orchestrated by multiple sockpuppet accounts controlled by the same actor.', 'score': 0.06921318732202053, 'timestamp': '2024-03-29T23:16:35Z', 'file_name': 'issue_92.csv'}]",[]
,Alan Coopersmith,[],[],"[{'message': '\nLocked by who though?', 'score': -0.263714044354856, 'timestamp': '2024-03-29T23:22:00Z', 'file_name': 'issue_92.csv'}]"
,P-EB,[],"[{'message': 'nan', 'score': 0.028908006846904755, 'timestamp': '2024-03-29T23:48:06Z', 'file_name': 'issue_92.csv'}]","[{'message': '\nhttps://www.openwall.com/lists/oss-security/2024/03/29/4  Like this one?\n\nAm I misunderstanding what ""oss-security"" is?', 'score': -0.36648282408714294, 'timestamp': '2024-03-29T23:44:04Z', 'file_name': 'issue_92.csv'}]"
P-EB,,[],"[{'message': '\nNo. From Lasse.', 'score': 0.022542782127857208, 'timestamp': '2024-03-29T23:45:01Z', 'file_name': 'issue_92.csv'}]",[]
mirabilos,,[],[],"[{'message': 'Debian is currently looking into downgrading it even further, before the first contribution from the known bad actor, which may be an older 5.2 release (later ones were also cut by them), then reapplying only the security fixes that came later on top manually, for now.', 'score': -0.38079884089529514, 'timestamp': '2024-03-29T23:51:02Z', 'file_name': 'issue_92.csv'}]"
Azrael,,[],"[{'message': '\nSee the linked PR.', 'score': 0.005253341980278492, 'timestamp': '2024-03-29T21:46:21Z', 'file_name': 'issue_96.csv'}]",[]
,Dirk Mueller,[],[],"[{'message': ""\nWell at least on my system i have glibc installed. Arch Linux was also affected (at least they commited a fix), and they don't have a deb or rpm package. "", 'score': -0.27879811078310013, 'timestamp': '2024-03-29T21:50:35Z', 'file_name': 'issue_96.csv'}]"
Ben Greiner,,[],[],"[{'message': '\nThe kids over there just don\'t know what they are talking about. Also their ""fix"" is to use the github repo instead of the tarball. So it still contains lots of puzzle pieces of the backdoor, just not the build trigger which would supposedly not activate in pkgbuild anyway.', 'score': -0.9246290698647499, 'timestamp': '2024-03-29T22:01:19Z', 'file_name': 'issue_96.csv'}]"
Sam James,,[],"[{'message': 'Please see the discussion in https://github.com/tukaani-project/xz/pull/52.', 'score': 0.021761708427220583, 'timestamp': '2023-06-29T16:53:09Z', 'file_name': 'issue_54.csv'}]",[]
,Sam James,"[{'message': 'Great, thank you very much!\n\nDoes the test suite consist in invoking the following executables, or do I need to invoke them in some special way, or are there perhaps other scripts to run? (these executables are what I get in the tests directory when building to 32bit Windows with mingw-w64)\n\n```\ntests/create_compress_files.exe\ttests/test_check.exe\t\ttests/test_hardware.exe\t\ttests/test_lzip_decoder.exe\ttests/test_vli.exe\ntests/test_bcj_exact_size.exe\ttests/test_filter_flags.exe\ttests/test_index.exe\t\ttests/test_memlimit.exe\ntests/test_block_header.exe\ttests/test_filter_str.exe\ttests/test_index_hash.exe\ttests/test_stream_flags.exe\n```', 'score': 0.9519577431492507, 'timestamp': '2023-06-29T17:00:18Z', 'file_name': 'issue_54.csv'}, {'message': 'You are free to close this issue, unless you feel that something could be added. Thank you very much!!', 'score': 0.42011679522693157, 'timestamp': '2023-06-30T09:15:03Z', 'file_name': 'issue_54.csv'}]","[{'message': ""Everything clear, I think. I have created this batch file which, AFAIK, runs all the tests that can be run from cross-compilation.\n\nThere's an extra step, though, before running this batch file, and it's that you must copy the complete `files` folder (located under the `tests` folder in the source code) into the built `tests` folder, for the script to run:\n\n```\ntest_bcj_exact_size.exe || exit /b\ntest_block_header.exe || exit /b\ntest_check.exe || exit /b\ntest_filter_flags.exe || exit /b\ntest_filter_str.exe || exit /b\ntest_hardware.exe || exit /b\ntest_index.exe || exit /b\ntest_index_hash.exe || exit /b\ntest_lzip_decoder.exe || exit /b\ntest_memlimit.exe || exit /b\ntest_stream_flags.exe || exit /b\ntest_vli.exe || exit /b\n```"", 'score': 0.07172243064269423, 'timestamp': '2023-06-30T09:13:35Z', 'file_name': 'issue_54.csv'}]",[]
Jia Tan,,"[{'message': ""Hello!\n\nThank you for the feature request. Currently, we do not have any official benchmark framework for any of the XZ projects. When we develop new features that require benchmarking data, we tend to collect the files with characteristics that best fit that feature (data type, size, entropy, etc.). Often times community members will also help us benchmark since they may have access to machines, data, or ideas that the maintainers do not.\n\nAs such, we do not have any plans for a more official, robust, and structured benchmark framework at this time. We unfortunately have a few high priority tasks to attend to first. Eventually, this could be a nice thing to have when we revisit encoder/decoder optimizations to make it easier for the community to help us test various ideas. We would likely maintain a separate repository for this so it could be useful for other .xz implementations.\n\nIf you have ideas on good ways to do this or bad things we should avoid, we are always open to suggestions :) . We probably wouldn't want to actually host the benchmark data ourselves due to storage requirements and potential file distribution copyright complexities, but a bring-your-own-data framework could be useful for people. Such a thing may already exist, so we would need to start by surveying what solutions other projects use for something like this. "", 'score': 0.46102565433830023, 'timestamp': '2024-02-28T13:33:24Z', 'file_name': 'issue_83.csv'}]",[],[]
,Jia Tan,"[{'message': 'Hi,\nzstd has a nice integrated benchmark feature:\n```\n$ zstd -b\n 3#Synthetic 50%     :  10000000 ->   3230847 (x3.095),  346.2 MB/s, 2616.6 MB/s\n```\nIt is useful to have an easily reproducible test.\nIn xz it could help to test which variant among\n* Basic C version\n* Branchless C\n* x86-64 inline assembly\n\nis the fastest on a given system.\n\nIt would be even better if all 3 variants could be compiled into the same binary and chosen at runtime.', 'score': 0.8981265474576503, 'timestamp': '2024-03-29T11:22:45Z', 'file_name': 'issue_83.csv'}]",[],[]
Caleb Maclennan,,[],"[{'message': '\nWould those ""high priority"" tasks by any chance include [backdooring Debian & Redhat based distros](https://www.openwall.com/lists/oss-security/2024/03/29/4)?', 'score': 0.010562228038907051, 'timestamp': '2024-03-29T18:16:24Z', 'file_name': 'issue_83.csv'}]",[]
,Caleb Maclennan,"[{'message': 'The only true benchmark for any compression software is the hutter prize: http://prize.hutter1.net/\nXZ is ranked place 75 in that regard, which is not bad: http://mattmahoney.net/dc/text.html', 'score': 0.9150293359998614, 'timestamp': '2024-04-17T22:32:00Z', 'file_name': 'issue_83.csv'}]",[],[]
,Michael Catanzaro,[],[],"[{'message': '\nThere is no commit in this repo that is malicious, but the tarballs that are being distributed in this repo are malicious. See the Red Hat security advisory at https://www.redhat.com/en/blog/urgent-security-alert-fedora-41-and-rawhide-users', 'score': -0.9508035653270781, 'timestamp': '2024-03-29T19:56:47Z', 'file_name': 'issue_94.csv'}]"
Jia Tan,,[],"[{'message': 'Hi! Thank you for the code suggestion. In order for us to accept a change like this, we need more information about the problem that is solves. What is the need to compile the tests programs locally without running them? Is it a cross-compile situation where you want to copy over the test binaries after everything else is built?\n\nIf this is the case, then a better solution is to override the TESTS variable in a make check command to be empty on your build machine:\n\n`make check TESTS=`\n\nThe TESTS variable, from the Automake docs: \n\n""If the special variable TESTS is defined, its value is taken to be a list of programs or scripts to run in order to do the testing.""\n\nSo, this is the list of tests to execute. If you leave it empty, it will still build all of the tests and then not execute any. Would this solve the issue?', 'score': 0.10053827334195375, 'timestamp': '2023-06-05T15:03:54Z', 'file_name': 'pr_52.csv'}]",[]
,Jia Tan,"[{'message': '\nAs you mentioned, it is a cross-compile situation where I want to copy over the test binaries after everything else is built. \nTo be precise, I want to add ""ptest"" support for xz in ""openembedded core"", so there is the situations where only local compilation is done without running tests.\n\nI have tried the method you suggested and it can also solve my problem very well, so there is no need to modify the code in xz.\nFinally, I would like to thank you for your patient comment. \nThank you!', 'score': 0.9002405425999314, 'timestamp': '2023-06-07T08:52:37Z', 'file_name': 'pr_52.csv'}]","[{'message': 'My problem has been resolved, so I will close this issue.\nThank you for your reply.', 'score': -0.022082332521677017, 'timestamp': '2023-06-07T08:55:07Z', 'file_name': 'pr_52.csv'}]",[]
Sam James,,[],[],"[{'message': ""Not sure that's right. At the very least, the fork count went down to 0 as did star count on the main repo. Plus the repo that his now shows as a fork of is also disabled.\n\nWe also can't reopen [any other PRs](https://github.com/tukaani-project/xz/pull/93#event-12447440884), so..."", 'score': -0.9527452148031443, 'timestamp': '2024-04-14T12:10:46Z', 'file_name': 'pr_86.csv'}]"
