from,to,positive,neutral,negative
ImperatorStorm,mathstuf,[],"[{'message': '\nProbably just autogenned from https://security.archlinux.org/AVG-2851', 'score': -0.025271352380514145, 'timestamp': '2024-03-29T19:40:44Z', 'file_name': 'issue_92.csv'}]",[]
mackal,ImperatorStorm,[],"[{'message': ""\nThey're saying their arch specific version 5.6.1-2 fixes it. That switches to pulling from the git tag, which doesn't contain the changes that are only in the release tar ball, so the backdoor can't be activated"", 'score': -0.09443191438913345, 'timestamp': '2024-03-29T19:40:53Z', 'file_name': 'issue_92.csv'}]",[]
emaste,mackal,[],"[{'message': 'FreeBSD is not affected - https://lists.freebsd.org/archives/freebsd-security/2024-March/000248.html', 'score': 0.06204448640346527, 'timestamp': '2024-03-29T19:41:39Z', 'file_name': 'issue_92.csv'}]",[]
imide,emaste,[],[],"[{'message': '\n? wym? sorry lmao idk the lore aaah', 'score': -0.36698095314204693, 'timestamp': '2024-03-29T19:43:40Z', 'file_name': 'issue_92.csv'}]"
lietu,cpaplham,"[{'message': ""That's at least a small relief, hopefully the full commit history of the account in question gets very rapid and very careful review to find any other potential targets as at least the potential for this was .. a bit more widespread than just `sshd`"", 'score': 0.23844015784561634, 'timestamp': '2024-03-29T20:16:12Z', 'file_name': 'issue_92.csv'}]",[],[]
Nowa-Ammerlaan,Noah-Leick,[],[],"[{'message': '\nThere should be no need to rebuild everything that links with `app-arch/xz-utils`, the library is not statically linked.', 'score': -0.6240675784647465, 'timestamp': '2024-03-29T20:30:20Z', 'file_name': 'issue_92.csv'}]"
joeyh,Nowa-Ammerlaan,[],[],"[{'message': '\nAlso the entire build process of several distributions which uses xz files, and also some package formats that use xz files. Any of these could allow a compromised xz to run and do damage.', 'score': -0.40253257006406784, 'timestamp': '2024-03-29T20:38:37Z', 'file_name': 'issue_92.csv'}]"
cyclone-github,joeyh,[],"[{'message': 'Script to detect CVE-2024-3094\nhttps://github.com/cyclone-github/scripts/blob/main/xz_cve-2024-3094-detect.sh\n(_This is a fixed and features added version of: https://www.openwall.com/lists/oss-security/2024/03/29/4_)', 'score': 0.021734891925007105, 'timestamp': '2024-03-29T20:50:07Z', 'file_name': 'issue_92.csv'}]",[]
acook,cyclone-github,[],[],"[{'message': 'As mentioned on https://github.com/google/oss-fuzz/issues/11760 `Larhzu` and others accounts may have been compromised by collaborators.\n\nEdited to clarify that I am referring to the accounts and not the identities that may or may not be behind them.', 'score': -0.794151741778478, 'timestamp': '2024-03-29T21:06:14Z', 'file_name': 'issue_92.csv'}]"
Jan200101,grepwood,[],[],"[{'message': '\nplease do not spread such claims without evidence\nsee https://github.com/google/oss-fuzz/issues/11760#issuecomment-2027738588', 'score': -0.46551653230562806, 'timestamp': '2024-03-29T21:12:07Z', 'file_name': 'issue_92.csv'}]"
charims,Jan200101,[],[],"[{'message': ""This issue should probably be locked until such time as there can be a proper response from project leadership. There's a lot of shade and FUD here, and blaming project contributors without evidence isn't helping. I think the urgent situation is handled. Perhaps we can take a step back and wait until we can get a proper response, as I imagine leadership will be quite overwhelmed when they discover all this, and if it were me, it would take me a while to draft a proper well-thought-out response as well as plan my next steps to protect the project."", 'score': -0.6481044348329306, 'timestamp': '2024-03-29T21:22:44Z', 'file_name': 'issue_92.csv'}]"
rugk,ghost,[],"[{'message': 'Also [there is archive.org](https://web.archive.org/web/20240329223553/https://github.com/tukaani-project/xz/issues/92).', 'score': 0.009233882185071707, 'timestamp': '2024-03-30T00:10:22Z', 'file_name': 'issue_92.csv'}]",[]
junaruga,rugk,"[{'message': '\nNice! The link below is maybe better to see the updated archives.\nhttps://web.archive.org/web/20240000000000*/https://github.com/tukaani-project/xz/issues/92\n', 'score': 0.869643238838762, 'timestamp': '2024-03-30T00:11:14Z', 'file_name': 'issue_92.csv'}]",[],[]
thesamesam,junaruga,[],[],"[{'message': ""I'm going to close this for now. There's a huge amount of comments and speculation and it's not really actionable in terms of technical items to work on other than the obvious.\n\nI may start a new issue with a checklist of what is to be done to decontaminate things.\n\nIf you need information on the incident, please see https://tukaani.org/xz-backdoor/."", 'score': -0.8348613709677011, 'timestamp': '2024-04-07T17:32:36Z', 'file_name': 'issue_92.csv'}]"
Kamillaova,thesamesam,[],"[{'message': 'xd', 'score': 0.05280619487166405, 'timestamp': '2024-06-08T01:35:39Z', 'file_name': 'issue_92.csv'}]",[]
thepwrtank18,Kamillaova,[],"[{'message': ""it's fixed boowomp"", 'score': -0.10491332039237022, 'timestamp': '2024-06-08T02:07:15Z', 'file_name': 'issue_92.csv'}]",[]
