event,from,created_at,body,to
commented,sfalken,2024-03-29T19:10:47Z,"openSUSE has also made their announcement.

https://news.opensuse.org/2024/03/29/xz-backdoor/",['AdnaneKhan']
commented,Alcaro,2024-03-29T19:13:58Z,"
Binary files containing compressed data make sense.

35KB binary files containing compressed data, that decompress to apparent nonsense and have no documentation on how they were created, do not make sense.",['sfalken']
commented,P-EB,2024-03-29T19:17:00Z,I'd be happy to understand why @Larhzu didn't react yet.,Larhzu
commented,vielmetti,2024-03-29T19:17:16Z,"CVE-2024-3094 is the CVE for this (and that should link to the Github internal page for this, let's see)",['P-EB']
commented,lietu,2024-03-29T19:18:48Z,"
Well, it is a national holiday in Finland, and late on a Friday. Some chance they're just out drinking.",['vielmetti']
commented,scy,2024-03-29T19:19:07Z,"
I agree. I was mainly responding to @capicy's overly general statement of ""binary files don't belong on git"".",capicy
commented,femboywiki,2024-03-29T19:22:11Z,Does anyone have any information concerning the threat actor such as his identity or country of origin?,['scy']
commented,lietu,2024-03-29T19:23:39Z,"
From the sound of it, seems like a fake identity. Unlikely even GitHub can easily find out.",['femboywiki']
commented,imadnyc,2024-03-29T19:35:13Z,@ddvarpdd This being a severe backdoor doesn't excuse racism.,ddvarpdd
commented,Alcaro,2024-03-29T19:35:37Z,"
https://security.archlinux.org/ASA-202403-1

Considering upstream version 5.6.1 was released three weeks ago, I must say I find that statement rather strange.

e: Fixed at https://gitlab.archlinux.org/archlinux/packaging/packages/xz/-/commit/881385757abdc39d3cfea1c3e34ec09f637424ad , by using the Git release rather than Github. Good job with the embargo, that is a thorougly unsuspicious commit that nevertheless does fix the issue.",['imadnyc']
commented,Asday,2024-03-29T19:35:53Z,"@ddvarpdd it's worth looking into what a ""false flag"" is.",ddvarpdd
commented,zb3,2024-03-29T19:36:48Z,I suspect @JiaT75 just wanted to stay alive.. I hope this is the case.,JiaT75
commented,imide,2024-03-29T19:38:13Z,"[https://archlinux.org/news/the-xz-package-has-been-backdoored/](https://archlinux.org/news/the-xz-package-has-been-backdoored/)

they made a main website announcement. seems like arch cant be backdoored? i am a moron however",['zb3']
commented,mathstuf,2024-03-29T19:38:29Z,"
The MITRE CVE page doesn't say that; not sure where Arch pulled ""5.6.1 fixes it"" from malicious code existing ""starting with version 5.6.0"" in the CVE report.",['imide']
commented,ImperatorStorm,2024-03-29T19:40:44Z,"
Probably just autogenned from https://security.archlinux.org/AVG-2851",['mathstuf']
commented,mackal,2024-03-29T19:40:53Z,"
They're saying their arch specific version 5.6.1-2 fixes it. That switches to pulling from the git tag, which doesn't contain the changes that are only in the release tar ball, so the backdoor can't be activated",['ImperatorStorm']
commented,emaste,2024-03-29T19:41:39Z,FreeBSD is not affected - https://lists.freebsd.org/archives/freebsd-security/2024-March/000248.html,['mackal']
commented,imide,2024-03-29T19:43:40Z,"
? wym? sorry lmao idk the lore aaah",['emaste']
commented,ShalokShalom,2024-03-29T19:54:01Z,"As the original email announcement has stated, only deb and rpm distros are targeted. 
Then, only those who use glibc and link sshd to libsystemd, and libsystemd to liblzma for sd_notify. 

Alpine, Arch, NixOS, Void, and so on should all be fine. 




Imagine the face that they make, once they wake up tomorrow to this issue. 
Sober in a second.  
",['imide']
commented,lietu,2024-03-29T20:13:10Z,"So I found it a bit strange that people only mention `ssh` as potentially affected by `liblzma`, so I made a quick bash script that loops through files in `/usr/lib` + `/lib` checking with `ldd` for references to `liblzma.so.5`, and then adds that file to a growing list of potential worries, then scans `/usr/bin` + `/bin` + `/usr/local/bin` for binaries that `ldd` says uses any of those potentially problematic libraries and .. well .. the list isn't short.

It includes stuff like `lxc`, `NetworkManager`, `nmap`, `llvm`, `qemu`, `clang`, `plasma` and `kde`, `pgrep`, `kmod`, `cupsd`, `lspci`, `file`, `dosbox`, `smbd`, `dockerd`, `xmlsec`, overall a lot of generic desktop software as well as incredibly commonplace system utilities. I didn't investigate the vulnerability in detail but with a quick look it seems the potential ramifications of this malicious actor's commit history are a bit larger than initially suspected, especially if `ssh` was affected just because of some connection to `libsystemd`, as quite a large % of my system's binaries depend on `liblzma.so.5`.

https://gist.github.com/lietu/c9b3fc27642d59edb375edc3b4a16c72

EDIT: Writing even slightly more complex BASH is always a minefield, migrated to Python instead to get proper recursive lookups of libraries, and well..

![image](https://github.com/tukaani-project/xz/assets/1296558/86a94392-ff89-4e34-a867-33037549761c)

IF there are other malicious pieces included the scope is indeed rather meaningful .. quick maths tells me about 29% of my system binaries, and 50% of the libraries.

https://gist.github.com/lietu/9f01eb7cb47a893341883c03b24682f6",['ShalokShalom']
commented,cpaplham,2024-03-29T20:14:57Z,@lietu The backdoor that was found only actually loads if `argv[0]` is `/usr/sbin/sshd`.,lietu
commented,lietu,2024-03-29T20:16:12Z,"That's at least a small relief, hopefully the full commit history of the account in question gets very rapid and very careful review to find any other potential targets as at least the potential for this was .. a bit more widespread than just `sshd`",['cpaplham']
commented,mackal,2024-03-29T20:16:15Z,"
I don't think it has actually been analyzed enough to verify it was only for sshd, just that it's confirmed for sshd.",['lietu']
commented,Noah-Leick,2024-03-29T20:17:52Z,"
Lmao, a good chunk of my system is going to need to be rebuilt. Gentoo downgraded [app-arch/xz-utils](https://packages.gentoo.org/packages/app-arch/xz-utils) to 5.4.6-r1.

Edit: Did not know that xz-utils is not statically linked",['mackal']
commented,Nowa-Ammerlaan,2024-03-29T20:30:20Z,"
There should be no need to rebuild everything that links with `app-arch/xz-utils`, the library is not statically linked.",['Noah-Leick']
commented,joeyh,2024-03-29T20:38:37Z,"
Also the entire build process of several distributions which uses xz files, and also some package formats that use xz files. Any of these could allow a compromised xz to run and do damage.",['Nowa-Ammerlaan']
commented,cyclone-github,2024-03-29T20:50:07Z,"Script to detect CVE-2024-3094
https://github.com/cyclone-github/scripts/blob/main/xz_cve-2024-3094-detect.sh
(_This is a fixed and features added version of: https://www.openwall.com/lists/oss-security/2024/03/29/4_)",['joeyh']
commented,acook,2024-03-29T21:06:14Z,"As mentioned on https://github.com/google/oss-fuzz/issues/11760 `Larhzu` and others accounts may have been compromised by collaborators.

Edited to clarify that I am referring to the accounts and not the identities that may or may not be behind them.",['cyclone-github']
commented,grepwood,2024-03-29T21:06:21Z,"Also consider reviewing Lasse's contributions to the Linux kernel, cause you never know.
https://lore.kernel.org/lkml/20240320183846.19475-2-lasse.collin@tukaani.org/",tukaani
commented,Jan200101,2024-03-29T21:12:07Z,"
please do not spread such claims without evidence
see https://github.com/google/oss-fuzz/issues/11760#issuecomment-2027738588",['grepwood']
commented,charims,2024-03-29T21:22:44Z,"This issue should probably be locked until such time as there can be a proper response from project leadership. There's a lot of shade and FUD here, and blaming project contributors without evidence isn't helping. I think the urgent situation is handled. Perhaps we can take a step back and wait until we can get a proper response, as I imagine leadership will be quite overwhelmed when they discover all this, and if it were me, it would take me a while to draft a proper well-thought-out response as well as plan my next steps to protect the project.",['Jan200101']
commented,luke-beep,2024-03-29T21:23:50Z,Interesting issue. ,['charims']
commented,broukema,2024-03-29T21:24:19Z,"There is a live FAQ on this issue:

https://gist.github.com/thesamesam/223949d5a074ebc3dce9ee78baad9e27

And to quote from the current version of the `People` part:

````
People

We do not want to speculate on the people behind this project in this document.
This is not a productive use of our time, and law enforcement will be able to handle identifying those responsible.
They are likely patching their systems too.

xz-utils has two maintainers:

    Lasse Collin (Larzhu) who has maintained xz since the beginning (~2009), and before that, lzma-utils.
    Jia Tan (JiaT75) who started contributing to xz in the last 2-2.5 years and gained commit access,
    and then release manager rights, about 1.5 years ago.

Lasse regularly has internet breaks and is on one at the moment, started before this all kicked off.
We believe CISA may be trying to get in contact with him.
````",['luke-beep']
commented,harikattar,2024-03-29T21:25:55Z,"why do we need 700 different compression libraries linked to everything?  There's nothing xz does that zlib doesn't for the usecase here.  Saving a handful of bytes on already-tiny files isn't worth requiring everything to use all of: libbz2, liblz4, liblzma, libxz and libzstd.

E: that's a whole lot of anonymous cowards hiding behind shitty reaction emojis because they don't understand the issue.",['broukema']
commented,DanielRuf,2024-03-29T21:30:28Z,"@alerque @broukema thanks for the links, very informative.

@cyclone-github that is very helpful, thanks.

@Asday I agree, most don't know that term and that false flag operations are not that uncommon in the security world.",alerque
commented,mrbid,2024-03-29T21:35:48Z,"
You can see who reacted btw, it's not anonymous. 

Also zlib as much as I love it... Is dated, zstd is now recommended over zlib for performance reasons, and xz is probably much the same.",['DanielRuf']
commented,mrbid,2024-03-29T21:39:41Z,"
Do I need to remind you that your first post in here was a meme that slights Chinese people.",['DanielRuf']
commented,carlosrodfern,2024-03-29T21:43:15Z,"
Lasse doesn't appear to be involved: https://www.mail-archive.com/xz-devel@tukaani.org/msg00567.html

Regarding the kernel, for what I can tell, the JT user did only one code contribution to xz-embedded: https://github.com/tukaani-project/xz-embedded/commit/48355f10e09c5075f3a56031fcbca18b2a708260
That contribution doesn't appear to be compromising anything.

Also, if you do a `diffoscope` the tarball from github, and the tarball distributed by JT user here: https://xz.tukaani.org/xz-embedded/  you don't see anything relevant included in there.

I think the kernel is clean.",tukaani
commented,ShePastAway0,2024-03-29T21:54:33Z,So should Mac/brew users worry or not? It was definitely shipped with homebrew (5.6.1) but as I understand since there is no systemd which was targeted as well as it is unclear if binaries was targeting x86_x64 only. Could please someone elaborate ,['carlosrodfern']
commented,AffSeda,2024-03-29T21:56:57Z,"The scope is probably quite limited, but as Homebrew has rolled the package back just in case; I would update Brew. Although systemd isn't there, glibc does exist on Brew and might be present.",['ShePastAway0']
commented,ShePastAway0,2024-03-29T22:00:38Z,"
could you please elaborate on the scope? and what is the point of updating brew itself instead of removing/downgrading the package? the main question if it was possible to affect Mac Silicons via this ""bug"", as far as i understand it was some kind of shellcode triggering hence it must be only x86_x64 targeted, correct me if im wrong please",['AffSeda']
commented,skull-squadron,2024-03-29T22:06:42Z,"Without adding fuel to the fire, this is a good reminder about discretion in trust, vigilance, and security practices in F{L,}OSS dev and packaging. Recall also ProFTPD, OpenBSD, PyPi, rest-client.

In the future, it would be useful for researchers and laypeople to submit SHA256, etc. hashes of known good and known bad artifacts to make tracing simpler.

Cheers peeps and best wishes for cleanup and recovery. xz is a core package to FLOSS.",['ShePastAway0']
commented,AffSeda,2024-03-29T22:08:11Z,"Sorry, I meant update brew in the sense of ""update the package you have installed on brew"" which will actually result in a downgrade. You can view their report here:
https://github.com/orgs/Homebrew/discussions/5243

I'm afraid I do not have the expertise to speculate on the answers to your questions, so I'm going with the option provided by Homebrew maintainers. They do not believe theirs was affected.",['skull-squadron']
commented,DanielRuf,2024-03-29T22:08:53Z,@skull-squadron that is a developing story. Did you see https://github.com/cyclone-github/scripts/blob/main/xz_cve-2024-3094-detect.sh#L40 and the bash script at https://www.openwall.com/lists/oss-security/2024/03/29/4?,skull
commented,DanielRuf,2024-03-29T22:10:08Z,"The code checks for linux and x86-64 as architecture according to Andres Freund (see https://www.openwall.com/lists/oss-security/2024/03/29/4).

Apple has a different architecture.",['AffSeda']
commented,BurningEnlightenment,2024-03-29T22:11:22Z,"@ShePastAway0 The backdoor which _has_ been found is quite sophisticated and relies on a prebuilt object file shipped as part of test files with this repository. As far as I am aware this object file is built for x86_64 and no other payloads have been found _at the time of writing_. However, it is not inconceivable that other attack vectors have been introduced in the past year--it will take more time to fully audit the changes made in the past year, e.g. we might find something like the the suspicious libarchive PR. A conservative approach would be to revert back to the last release made by Lasse Collins himself.",ShePastAway0
commented,Midek,2024-03-29T22:17:59Z,"Whats with chinks always trying to get into my ssh? first it was just the bruteforce loggin attempts, now they want to get in from the inside.",['BurningEnlightenment']
commented,Tejeev,2024-03-29T22:24:19Z,"@Midek, hopefully you're knowledgeable in infosec and just joking, but if not, you may want to look up what a false flag is.  There are a lot of malicious actors out there, and folks who are quick to point fingers are the easiest to manipulate.  If someone were trying to hide their tracks, planting a few false flags like making sure they committed at a similar time window each time, would be too easy a step for them to not take.  Especially someone smart and dedicated enough to do this.",Midek
commented,cwegener,2024-03-29T23:11:44Z,"
I have no clue what you are trying to say, but on the off chance that you are not in the world of software engineering, here is a screenshot of me making a git commit with UTC+8 (note on the top right, my local time is UTC+11)

![image](https://github.com/tukaani-project/xz/assets/2950544/f9be5494-f71f-42bc-aff7-911ae36abeea)",['Tejeev']
commented,Hakkin,2024-03-29T23:16:35Z,"
It's interesting to note that the ""Jigar Kumar"" in this thread that is pressuring Lasse to find a replacement maintainer has the same e-mail format (`<firstname><lastname><number>`) as the ""Hans Jansen"" e-mail that was part of the backdoored commits. The PGP key for the Protonmail account (`0xA97B6FC34F5DB756`) was created on `2022-04-26`, and the first message by ""Jigar Kumar"" on the xz-devel mailing list was on `2022-04-27`, one day later.

It's seeming increasingly likely that every step of this process was carefully orchestrated by multiple sockpuppet accounts controlled by the same actor.",['cwegener']
commented,alanc,2024-03-29T23:21:00Z,"
It appears github has suspended the accounts of both project maintainers, but this is only shown in their entries in the ""following"" lists of accounts who follow them, not their main profiles:

- https://github.com/JiaT75?tab=following
- https://github.com/Larhzu?tab=following",['Hakkin']
commented,cwegener,2024-03-29T23:22:00Z,"
Locked by who though?",['alanc']
commented,alerque,2024-03-29T23:37:59Z,@alanc Interesting find. Hans' account is [also suspended](https://github.com/hipunk?tab=following). Somebody at GH probably has access (and possibly soon a legal mandate) to look into PII on those accounts and correlate activity.,alanc
commented,P-EB,2024-03-29T23:42:20Z,"
Ah this UI is really horrible. Thanks for finding out.

That being said, a mail on oss-security would be a good start.",['alerque']
commented,Asday,2024-03-29T23:44:04Z,"
https://www.openwall.com/lists/oss-security/2024/03/29/4  Like this one?

Am I misunderstanding what ""oss-security"" is?",['P-EB']
commented,P-EB,2024-03-29T23:45:01Z,"
No. From Lasse.",['Asday']
commented,Asday,2024-03-29T23:48:06Z,,['P-EB']
commented,mirabilos,2024-03-29T23:51:02Z,"Debian is currently looking into downgrading it even further, before the first contribution from the known bad actor, which may be an older 5.2 release (later ones were also cut by them), then reapplying only the security fixes that came later on top manually, for now.",['Asday']
commented,medicalwei,2024-03-30T00:05:54Z,Is it safe to keep discussions here where their maintainers have delete access to the whole thread? I worry they may drop the discussion or repo.,['mirabilos']
commented,ghost,2024-03-30T00:07:22Z,"Yeah, the maintainers could delete the thread, but having it here until they delete it will help serve as a warning to the public. ",['medicalwei']
commented,AffSeda,2024-03-30T00:08:08Z,I'm pretty sure the maintainers are both suspended and can't do anything.,['ghost']
commented,ghost,2024-03-30T00:09:12Z,"
Oh, that's good.",['AffSeda']
commented,rugk,2024-03-30T00:10:22Z,Also [there is archive.org](https://web.archive.org/web/20240329223553/https://github.com/tukaani-project/xz/issues/92).,['ghost']
commented,junaruga,2024-03-30T00:11:14Z,"
Nice! The link below is maybe better to see the updated archives.
https://web.archive.org/web/20240000000000*/https://github.com/tukaani-project/xz/issues/92
",['rugk']
commented,thesamesam,2024-04-07T17:32:36Z,"I'm going to close this for now. There's a huge amount of comments and speculation and it's not really actionable in terms of technical items to work on other than the obvious.

I may start a new issue with a checklist of what is to be done to decontaminate things.

If you need information on the incident, please see https://tukaani.org/xz-backdoor/.",['junaruga']
commented,Kamillaova,2024-06-08T01:35:39Z,xd,['thesamesam']
commented,thepwrtank18,2024-06-08T02:07:15Z,it's fixed boowomp,['Kamillaova']
