pr_#,state,created_at,updated_at,closed_at,merged_at,title,body,url,issue_url,merge_sha,user
141,closed,2024-09-10 09:30:42,2024-09-10 11:14:13,2024-09-10 11:14:12,,Fix typo in autogen.sh,,https://github.com/tukaani-project/xz/pull/141,https://api.github.com/repos/tukaani-project/xz/issues/141,fa6d598b90c1a049969a972dcb8f046719dfdee8,firasuke
140,closed,2024-09-08 01:25:49,2024-09-22 13:32:30,2024-09-22 13:32:30,,Translations: Fix improper expressions in Chinese (simplified) translation.,,https://github.com/tukaani-project/xz/pull/140,https://api.github.com/repos/tukaani-project/xz/issues/140,5d012fc194a1947e2788b4314cbcf171245c9506,ChenPi12
137,closed,2024-09-02 19:17:24,2025-03-10 13:57:17,2025-03-10 13:57:17,,Add support for Large Memory  Model on AIX 32-bit,"32-bit executables on AIX need to increase the address space to allow more than 256MB RAM.
It would be nice if this was available out of box.",https://github.com/tukaani-project/xz/pull/137,https://api.github.com/repos/tukaani-project/xz/issues/137,59f8679d24763d40af288e38beab592019d5319f,vchaves123
136,closed,2024-08-22 02:40:49,2024-08-22 09:53:22,2024-08-22 09:53:22,,"liblzma: fix movzw compatibility in range_decoder.h, close #121.","Support for instruction `movzw` without suffix in ""GNU as"" was added in commit [1] and stabilized in binutils 2.27, released in August 2016. Earlier systems don't accept this instruction without a suffix, making range_decoder.h's inline assembly unable to build on old systems such as Ubuntu 16.04, creating error messages like:

    lzma_decoder.c: Assembler messages:
    lzma_decoder.c:371: Error: no such instruction: `movzw 2(%r11),%esi'
    lzma_decoder.c:373: Error: no such instruction: `movzw 4(%r11),%edi'
    lzma_decoder.c:388: Error: no such instruction: `movzw 6(%r11),%edx'
    lzma_decoder.c:398: Error: no such instruction: `movzw (%r11,%r14,4),%esi'

This has been reported by at least 3 different users. Since xz and liblzma are base system tools and are often required in system upgrades themselves, compatibility with old systems shall be kept. This commit changes `movzw` to `movzwl` for compatibility.

[1] https://sourceware.org/git/?p=binutils-gdb.git;a=commit;h=c07315e0c610e0e3317b4c02266f81793df253d2

* Suggested-By: Lasse Collin <lasse.collin@tukaani.org>
* Tested-By: Yifeng Li <tomli@tomli.me>",https://github.com/tukaani-project/xz/pull/136,https://api.github.com/repos/tukaani-project/xz/issues/136,6f2a3aeedd63db1be006505506832177285a4ad0,biergaizi
134,closed,2024-08-06 10:55:31,2024-09-02 17:36:29,2024-08-25 14:41:14,,Fix: XZ_TOOL_LZMADEC,"When the XZ_TOOL_LZMADEC option is turned off, lzmadec should not be used.",https://github.com/tukaani-project/xz/pull/134,https://api.github.com/repos/tukaani-project/xz/issues/134,21862307bd49e085fa448a79c0704d3803d02902,wzhengsen
130,closed,2024-07-02 12:22:02,2024-07-03 19:47:49,2024-07-03 19:47:49,,cmake: overwrite user given NLS decision in case legacy cmake is detected,"Overwriteuser given NLS decision in case legacy cmake (e.g. 3.18.4) is detected.

Fixes:

  CMake Error at CMakeLists.txt:1675 (add_executable):
    Target ""xz"" links to target ""Intl::Intl"" but the target was not found.
    Perhaps a find_package() call is missing for an IMPORTED target, or an
    ALIAS target is missing?

  CMake Error at CMakeLists.txt:1619 (add_executable):
    Target ""lzmainfo"" links to target ""Intl::Intl"" but the target was not
    found.  Perhaps a find_package() call is missing for an IMPORTED target, or
    an ALIAS target is missing?


Closes: https://github.com/tukaani-project/xz/issues/129",https://github.com/tukaani-project/xz/pull/130,https://api.github.com/repos/tukaani-project/xz/issues/130,b445c39d001cfb0c1545ed86b2d31fc0cf8c7ae5,pseiderer
127,closed,2024-06-11 20:15:23,2024-06-17 15:29:57,2024-06-17 15:28:37,2024-06-17 15:28:36,x86 CLMUL CRC rewrite,"It's faster with both tiny and large buffers and doesn't require disabling any sanitizers.

With large buffers the extra speed is from folding chunks in parallel. For large buffers, faster versions are out there but it's diminishing returns in context of XZ Utils. So let's skip wider folding or AVX2 code at least for now.",https://github.com/tukaani-project/xz/pull/127,https://api.github.com/repos/tukaani-project/xz/issues/127,30a2d5d51006301a3ddab5ef1f5ff0a9d74dce6f,Larhzu
126,closed,2024-06-07 02:26:42,2024-06-10 08:26:30,2024-06-07 13:17:32,,tuklib_integer: Fix byteswap macros for OpenBSD,"OpenBSD uses swap*() instead of bswap*() like the other BSD's.

This fixes building with GCC 4.2.",https://github.com/tukaani-project/xz/pull/126,https://api.github.com/repos/tukaani-project/xz/issues/126,493826606fa1c0b74edb26afab77428667a6eba8,brad0
125,closed,2024-06-07 01:56:55,2024-06-10 08:26:40,2024-06-07 13:17:32,,liblzma: ARM64 CRC32: Add support for OpenBSD CPU feature detection,,https://github.com/tukaani-project/xz/pull/125,https://api.github.com/repos/tukaani-project/xz/issues/125,cf6345ba6780aeffaa4d1cf1aaaf22828064f831,brad0
124,closed,2024-06-05 22:22:19,2024-06-07 13:18:01,2024-06-07 13:17:33,,fix typos,,https://github.com/tukaani-project/xz/pull/124,https://api.github.com/repos/tukaani-project/xz/issues/124,75e8b48c002ee1ec209dd560418ded3332fc8b02,RainRat
123,closed,2024-06-03 05:22:44,2024-06-03 05:34:30,2024-06-03 05:23:50,,For lasse,,https://github.com/tukaani-project/xz/pull/123,https://api.github.com/repos/tukaani-project/xz/issues/123,c9dd55b55607fac5a41d6654510a4fc4c3184511,thesamesam
120,open,2024-05-02 04:06:00,2024-05-30 10:06:52,,,WIP: meson build,,https://github.com/tukaani-project/xz/pull/120,https://api.github.com/repos/tukaani-project/xz/issues/120,98e5df5db7a5b934efccf46e9f1f547f23700feb,vtorri
118,closed,2024-05-01 21:13:14,2024-12-22 18:04:36,2024-12-18 15:32:01,,Mask control characters in filenames,"The command line tools print filenames and some other user-specified strings to standard output or standard error. Malicious strings, for example, from filenames could contain control characters that affect the state of the terminal.

These commits add a function to replace the single-byte control characters with question marks. This is simple but hopefully good enough in practice.",https://github.com/tukaani-project/xz/pull/118,https://api.github.com/repos/tukaani-project/xz/issues/118,,Larhzu
117,closed,2024-05-01 05:00:11,2024-05-01 11:18:55,2024-05-01 11:18:55,,Update SECURITY.md,"Added the requirement to include security info, reproduction steps, estimated severity and encouraging people to report the issue publicly.",https://github.com/tukaani-project/xz/pull/117,https://api.github.com/repos/tukaani-project/xz/issues/117,1fd5795a5ba75a102aefd7a160d758dbc91f9647,JohnDoe1001
116,closed,2024-04-25 21:56:54,2024-06-03 09:35:29,2024-06-03 09:35:29,,CI: actually fail on FreeBSD,"Without ""set -e"" the job will always be successful.

See vmactions/freebsd-vm#72

/cc @thesamesam",https://github.com/tukaani-project/xz/pull/116,https://api.github.com/repos/tukaani-project/xz/issues/116,551a155337a3c36f1c06109595cdd62c0bf5d84a,junghans
115,closed,2024-04-24 23:25:38,2024-06-03 09:36:24,2024-06-03 09:35:28,,Updated actions,,https://github.com/tukaani-project/xz/pull/115,https://api.github.com/repos/tukaani-project/xz/issues/115,5dac6df4dea51b82a8fe58559941e432e1297979,radarhere
111,closed,2024-04-17 22:01:08,2024-05-01 10:00:56,2024-05-01 10:00:55,,New XZ Logo proposal,"I saw the old 'tainted' Logo for XZ was removed; here is a new Logo proposal in pixelart style combining the letters X and Z in a minimalistic color-coding way in pixel and 8x resolution. If you like this idea I might do an SVG version aswell. As for License do what you want, as by German law I would still own the copyright, but the Logo is minimalistic enough that I would assume it any License you as Maintainers want.",https://github.com/tukaani-project/xz/pull/111,https://api.github.com/repos/tukaani-project/xz/issues/111,53739e9aecb62d3eeb48c3c11c7b6ca8b77fac7a,Sur3
109,closed,2024-04-15 05:21:43,2024-04-15 05:31:25,2024-04-15 05:31:25,,test,,https://github.com/tukaani-project/xz/pull/109,https://api.github.com/repos/tukaani-project/xz/issues/109,b6acb6945790ffa60405fcd33733e6367b4013cb,thesamesam
108,closed,2024-04-13 00:31:50,2024-04-15 00:45:26,2024-04-13 15:49:05,2024-04-13 15:49:05,CI: Use only the active CPUs on macOS,`hw.ncpu` counts all CPUs including inactive ones. `hw.activecpu` counts only the active CPUs.,https://github.com/tukaani-project/xz/pull/108,https://api.github.com/repos/tukaani-project/xz/issues/108,97f0ee0f1f903f4e7c4ea23e9b89d687025d2992,ryandesign
106,closed,2024-04-11 16:32:59,2024-07-14 18:45:51,2024-05-01 11:38:17,,A reborn of the project with Markdown based docs,"First of all, I'm really sorry for what happened, and the original author didn't deserve all this.

XZ is a modern tool (2016 first release I think?) yet all docs is in ASCII text files. While I admire and fond of good old plain ASCII text, but we also shouldn't let the chance of utilizing the modern Markdown features slip.

Currently, I've added the markdown only for README (old one's intact). If I get a green-light, I might also convert other ASCII plain text files into Markdown (while keeping the ASCII one's of course).

I'm creating this PR as a draft, as only README is in Markdown and not every docs' file.

Also, best of luck. I (and many others) believe in this project.",https://github.com/tukaani-project/xz/pull/106,https://api.github.com/repos/tukaani-project/xz/issues/106,0070f69f02e88ce734537ecfb74a5877d46a2d06,KRTirtho
97,closed,2024-03-29 22:32:58,2024-05-01 10:31:30,2024-03-29 22:50:23,,Reflect real changelog in NEWS,Documentation improvements,https://github.com/tukaani-project/xz/pull/97,https://api.github.com/repos/tukaani-project/xz/issues/97,7ea5e40d8ba8c3b8e2eccc5e37316615cad99aed,oswalpalash
95,closed,2024-03-29 21:18:50,2024-05-01 10:22:44,2024-04-05 09:28:41,,Revert malicious commits,"Some of them claim to fix actual bugs and/or improve test coverage, but it's unclear to me if they're bugs in the actual XZ project, or if they're fallout from the backdoor.

For this kind of situation, I'd rather err on the side of deleting too much. If they were helpful, the bugs can be re-reported and re-fixed.

I only checked up to and including https://github.com/tukaani-project/xz/commits?author=JiaT75&after=af071ef7702debef4f1d324616a0137a5001c14c+104 ; everything on that page looks clean to me, so I believe the user only became malicious somewhere after that point.",https://github.com/tukaani-project/xz/pull/95,https://api.github.com/repos/tukaani-project/xz/issues/95,ac14ccaf817ae24cc89dfabfcb6d9301ff529f6e,Alcaro
93,closed,2024-03-29 18:39:58,2024-05-01 11:01:08,2024-05-01 10:42:10,,codespell: Ignore THANKS file and debbugs.gnu.org url + GitHub action,This way  `codespell -i 0`  is silent and feasible to CI for typos -- added github action.,https://github.com/tukaani-project/xz/pull/93,https://api.github.com/repos/tukaani-project/xz/issues/93,156b20a4e417cf8b265f3fed17ad7869cbd17f3b,yarikoptic
91,closed,2024-03-13 13:06:26,2024-03-20 19:04:08,2024-03-20 19:04:08,,liblzma: Fix building with NVHPC (NVIDIA HPC SDK).,"NVHPC compiler has several issues that make it impossible to build liblzma:
  - the compiler cannot handle unions that contain pointers that are not the first members (in some cases);
  - the compiler cannot handle the assembler code in range_decoder.h (LZMA_RANGE_DECODER_CONFIG has to be set to zero);
  - the compiler fails to produce valid code for delta_decode if the vectorization is enabled, which results in failed tests.

This introduces NVHPC-specific workarounds that address the issues.

## Pull request checklist

Please check if your PR fulfills the following requirements:
- [ ] Tests for the changes have been added (for bug fixes / features)
- [ ] Docs have been reviewed and added / updated if needed (for bug fixes / features)
- [ ] Build was run locally and without warnings or errors
- [x] All previous and new tests pass


## Pull request type

Please check the type of change your PR introduces:
- [ ] Bugfix
- [ ] Feature
- [ ] Code style update (formatting, renaming, typo fix)
- [ ] Refactoring (no functional changes, no api changes)
- [ ] Build related changes
- [ ] Documentation content changes
- [x] Other (please describe): workarounds for the compiler


## What is the current behavior?
It's not possible to build and get the tests pass with any existing release of the NVHPC compiler even when configuring as follows:
```console
$ ./configure --disable-symbol-versions CPPFLAGS='-DLZMA_RANGE_DECODER_CONFIG=0' CFLAGS='-O'
```
(`-O` is the same as the default `-O2` but without SIMD)


## What is the new behavior?
It is possible to build and get the tests pass with any existing release of the NVHPC compiler when configuring as follows:
```console
$ ./configure --disable-symbol-versions
```

## Does this introduce a breaking change?

- [ ] Yes
- [x] No


## Other information

I don't know if there is any interest in supporting NVHPC and I'd understand if there's none.",https://github.com/tukaani-project/xz/pull/91,https://api.github.com/repos/tukaani-project/xz/issues/91,41fe3474aaaf8c41917a016db7aee8231a90d4ea,skosukhin
90,closed,2024-03-13 11:53:44,2024-05-14 11:50:04,2024-03-20 19:04:53,,Build: Let the users override the symbol versioning variant.,"There are cases when the users want to decide themselves whether they want to have the generic (even on GNU/Linux) or the linux (even if we do not recommend that) symbol versioning variant. The former might be needed to circumvent compiler issues (i.e. the compiler does not support all features that are required for the linux versioning), the latter might help in overriding the assumptions made in the configure script.

## Pull request checklist

Please check if your PR fulfills the following requirements:
- [ ] Tests for the changes have been added (for bug fixes / features)
- [ ] Docs have been reviewed and added / updated if needed (for bug fixes / features)
- [x] Build was run locally and without warnings or errors
- [x] All previous and new tests pass


## Pull request type

Please check the type of change your PR introduces:
- [ ] Bugfix
- [ ] Feature
- [ ] Code style update (formatting, renaming, typo fix)
- [ ] Refactoring (no functional changes, no api changes)
- [x] Build related changes
- [ ] Documentation content changes
- [ ] Other (please describe): 


## What is the current behavior?
It's not possible to override the symbol versioning variant on GNU/Linux:
```console
$ ./configure --enable-symbol-versions=auto | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=yes | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=no | grep 'library symbol versioning'
checking if library symbol versioning should be used... no
$ ./configure --enable-symbol-versions=linux | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=generic | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=something-else | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions --disable-shared | grep 'library symbol versioning'
checking if library symbol versioning should be used... no (not building a shared library)
$ ./configure --with-pic | grep 'library symbol versioning'
checking if library symbol versioning should be used... 
configure: error: 
    On GNU/Linux, building both shared and static library at the same time
    is not supported if --with-pic or --without-pic is used.
    Use either --disable-shared or --disable-static to build one type
    of library at a time. If both types are needed, build one at a time,
    possibly picking only src/liblzma/.libs/liblzma.a from the static build.
```

## What is the new behavior?
It is possible to override the symbol versioning variant:
```console
$ ./configure --enable-symbol-versions=auto | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=yes | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=no | grep 'library symbol versioning'
checking if library symbol versioning should be used... no
$ ./configure --enable-symbol-versions=linux | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (linux)
$ ./configure --enable-symbol-versions=generic | grep 'library symbol versioning'
checking if library symbol versioning should be used... yes (generic)
$ ./configure --enable-symbol-versions=something-else | grep 'library symbol versioning'
checking if library symbol versioning should be used... 
configure: error: unknown symbol versioning variant 'something-else'
$ ./configure --enable-symbol-versions --disable-shared | grep 'library symbol versioning'
checking if library symbol versioning should be used... no (not building a shared library)
$ ./configure --with-pic | grep 'library symbol versioning'
checking if library symbol versioning should be used... 
configure: error: 
    On GNU/Linux, building both shared and static library at the same time
    is not supported if --with-pic or --without-pic is used.
    Use either --disable-shared or --disable-static to build one type
    of library at a time. If both types are needed, build one at a time,
    possibly picking only src/liblzma/.libs/liblzma.a from the static build.
```

## Does this introduce a breaking change?

- [ ] Yes
- [x] No

## Other information

It looks like `--enable-symbol-versions=generic` was an unintended feature that existed before 0682439.",https://github.com/tukaani-project/xz/pull/90,https://api.github.com/repos/tukaani-project/xz/issues/90,ac7eea0c8a3046d46a2f516ad1b4b2c280f52b21,skosukhin
87,closed,2024-02-25 14:16:11,2024-02-26 15:36:04,2024-02-26 15:36:04,2024-02-26 15:36:04,xz: Add missing RISC-V on the filter list in the man page,"## Pull request checklist

- [ ] Tests for the changes have been added (for bug fixes / features)
- [ ] Docs have been reviewed and added / updated if needed (for bug fixes / features)
- [ ] Build was run locally and without warnings or errors
- [ ] All previous and new tests pass


## Pull request type 

Please check the type of change your PR introduces:
- [ ] Bugfix
- [ ] Feature
- [ ] Code style update (formatting, renaming, typo fix)
- [ ] Refactoring (no functional changes, no api changes)
- [ ] Build related changes
- [x] Documentation content changes
- [ ] Other (please describe): 


## What is the current behavior?
The RISC-V filter option should be listed in the man page but not.


## What is the new behavior?
List the RISC-V filter.

## Does this introduce a breaking change?

- [ ] Yes
- [x] No


## Other information

The translation is not handled yet.
Currently running po4a/update-po upon commit 5d8d915ebe2e345820a0f54d1baf8d7d4824c0c7 generates changes of over 455 lines and I'm sure sure if they are really needed. Plus, I'm not familiar with the po4a tools so help is needed. ",https://github.com/tukaani-project/xz/pull/87,https://api.github.com/repos/tukaani-project/xz/issues/87,eee579fff50099ba163c12305e81a4bd42b7dd53,ivq
86,closed,2024-02-25 12:26:01,2024-07-01 15:01:16,2024-04-12 10:07:03,,Speed up CRC32 calculation on LoongArch,"## Pull request checklist

Please check if your PR fulfills the following requirements:
- [ ] Tests for the changes have been added (for bug fixes / features)
- [ ] Docs have been reviewed and added / updated if needed (for bug fixes / features)
- [x] Build was run locally and without warnings or errors
- [x] All previous and new tests pass


## Pull request type

<!-- Please try to limit your pull request to one type, submit multiple
pull requests if needed. --> 

Please check the type of change your PR introduces:
- [x] Feature

## What is the current behavior?
<!-- Please describe the current behavior that you are modifying. -->

On LoongArch the generic table-based CRC32 implementation is used.

<!-- Related issue this PR addresses, if applicable -->
Related Issue URL: None


## What is the new behavior?

The crc.w.{b/h/w/d}.w instructions in LoongArch can calculate the CRC32 result for 1/2/4/8 bytes in a single operation, making the use of LoongArch CRC32 instructions much faster compared to the general CRC32 algorithm.

Optimized CRC32 will be enabled if the kernel declares the LoongArch CRC32 instructions supported via AT_HWCAP.

## Does this introduce a breaking change?

- [x] No

<!-- If this introduces a breaking change, please describe the impact and
migration path for existing applications below. -->


## Other information

<!-- Any other information that is important to this PR. -->",https://github.com/tukaani-project/xz/pull/86,https://api.github.com/repos/tukaani-project/xz/issues/86,bdf40a08b076abeddc5ce21738f1fb84bcc9570c,xry111
80,closed,2024-02-16 21:02:20,2024-02-17 14:31:22,2024-02-17 14:31:22,,liblzma/rangecoder: Exclude x32 from the x86-64 optimisation.,"The x32 port has a x86-64 ABI in term of all registers but uses only 32bit pointer like x86-32. The assembly optimisation fails to compile on x32. Given the state of x32 I suggest to exclude it from the optimisation rather than trying to fix it.

## Pull request type

Please check the type of change your PR introduces:
- [X] Bugfix

## What is the current behavior?
https://buildd.debian.org/status/fetch.php?pkg=xz-utils&arch=x32&ver=5.5.2beta-1&stamp=1708036388&raw=0

```
In file included from ../../../../src/liblzma/lzma/lzma_decoder.c:17:
In function ‘lzma_decode’,
    inlined from ‘lzma_decode’ at ../../../../src/liblzma/lzma/lzma_decoder.c:235:1:
../../../../src/liblzma/rangecoder/range_decoder.h:644:9: error: invalid 'asm': operand is not a condition code, invalid operand code 'c'
  644 |         __asm__( \
      |         ^~~~~~~
../../../../src/liblzma/rangecoder/range_decoder.h:671:9: note: in expansion of macro ‘rc_asm_bittree_n’
  671 |         rc_asm_bittree_n(probs_base_var, final_add, \
      |         ^~~~~~~~~~~~~~~~
../../../../src/liblzma/lzma/lzma_decoder.c:75:17: note: in expansion of macro ‘rc_bittree3’
   75 |                 rc_bittree3(ld.low[pos_state], \
      |                 ^~~~~~~~~~~
../../../../src/liblzma/lzma/lzma_decoder.c:421:25: note: in expansion of macro ‘len_decode_fast’
  421 |                         len_decode_fast(len, coder->match_len_decoder,
      |                         ^~~~~~~~~~~~~~~
../../../../src/liblzma/rangecoder/range_decoder.h:644:9: error: invalid 'asm': operand is not a condition code, invalid operand code 'c'
…
```



## Does this introduce a breaking change?

- [ ] Yes
- [X] No",https://github.com/tukaani-project/xz/pull/80,https://api.github.com/repos/tukaani-project/xz/issues/80,50b006482739e65d4db06aa36d850a5682bed424,sebastianas
