issue_#,state,created_at,updated_at,closed_at,title,body,url,user
146,closed,2024-10-08 11:23:44,2024-10-09 12:13:04,2024-10-09 12:13:03,[Feature request: RISC-V] Enable `TUKLIB_FAST_UNALIGNED_ACCESS` flag for RISC-V?,"I noticed that the `TUKLIB_FAST_UNALIGNED_ACCESS` flag is always disabled for RISC-V, even though RISC-V supports unaligned access.

Perhaps consider enabling it?",https://github.com/tukaani-project/xz/issues/146,guoyuqi020
142,closed,2024-09-15 17:45:39,2024-10-01 18:07:30,2024-10-01 18:07:30,"5.6.2 release tarball configure script fail to set FILECMD, causing --disable-static ineffective on MIPS64","The 5.6.2 release tarball is generated with libtool-2.5.0, where a bug causes it fail to set FILECMD.  The fix of the bug is https://git.savannah.gnu.org/cgit/libtool.git/commit/?id=9a4a02615c9e7cbcfd690ed31874822a7d6aaea2.  The effect of the bug can be seen in config.log (on all architectures):

```
configure:9458: checking for file
configure:9479: found /usr/bin/file
configure:9491: result: :
```

While the bug is ""harmless"" on most architectures, on MIPS64 it wrecks havoc.  There's something like

```bash
mips64*-*linux*)
  # Find out what ABI is being produced by ac_compile, and set linker
  # options accordingly.
  echo '[#]line '$LINENO' ""configure""' > conftest.$ac_ext
  if AC_TRY_EVAL(ac_compile); then 
    emul=elf
    case `$FILECMD conftest.$ac_objext` in
      *32-bit*)
    emul=""${emul}32""
    ;;
      *64-bit*)
    emul=""${emul}64""
    ;;   
    esac 
    case `$FILECMD conftest.$ac_objext` in
      *MSB*)
    emul=""${emul}btsmip""
    ;;   
      *LSB*)
    emul=""${emul}ltsmip""
    ;;   
    esac 
    case `$FILECMD conftest.$ac_objext` in
      *N32*)
    emul=""${emul}n32""
    ;;
    esac
    LD=""${LD-ld} -m $emul""
  fi
```

So on MIPS when `FILECMD=:`, we get only `emul=elf`.  Then as `ld -m elf` does not work at all, we get:

```
configure:13624: checking whether the gcc linker (/usr/bin/ld -m elf) supports shared libraries 
configure:14897: result: no
```

and `--disable-static` becomes ineffective.

In xz this is the second case the autoconf-based building system contributes to a breakage (the first case is already ""well known"" or ""notorious"").  While it's too premature to drop autoconf, I'd suggest not to use a libtool alpha/beta release (2.5.0 is an alpha release) in the future.  I.e. just use the latest stable release (2.4.7 as at now).",https://github.com/tukaani-project/xz/issues/142,xry111
139,closed,2024-09-04 12:27:56,2024-10-01 18:08:14,2024-10-01 18:08:14,Release new version for merged PR #136?,"Hello, thanks for supporting this project and for your awesome attitude towards users.

In order to receive the patch from: https://github.com/tukaani-project/xz/pull/136

Would it be possible to release a new version? I would guess 5.6.3. I do not know what's your release cadence or rules, I did try to check on your website and the repo README, I apologize if I overlooked it.

Thank you!",https://github.com/tukaani-project/xz/issues/139,awesomebytes
135,closed,2024-08-19 20:08:17,2024-09-24 12:29:13,2024-09-24 12:29:13,Problem with warming Wtype-limits,"```
filter_decoder.c: In function 'decoder_find':
filter_decoder.c:145:30: warning: comparison of unsigned expression in '< 0' is always false [-Wtype-limits]
  145 |         for (size_t i = 0; i < ARRAY_SIZE(decoders); ++i)
      |                              ^
filter_encoder.c: In function 'encoder_find':
filter_encoder.c:188:30: warning: comparison of unsigned expression in '< 0' is always false [-Wtype-limits]
  188 |         for (size_t i = 0; i < ARRAY_SIZE(encoders); ++i)
      |                              ^
string_conversion.c: In function 'parse_filter':
string_conversion.c:815:30: warning: comparison of unsigned expression in '< 0' is always false [-Wtype-limits]
  815 |         for (size_t i = 0; i < ARRAY_SIZE(filter_name_map); ++i) {
      |                              ^
string_conversion.c: In function 'lzma_str_list_filters':
string_conversion.c:1255:30: warning: comparison of unsigned expression in '< 0' is always false [-Wtype-limits]
 1255 |         for (size_t i = 0; i < ARRAY_SIZE(filter_name_map); ++i) {
      |                              ^
```",https://github.com/tukaani-project/xz/issues/135,Jamaika1
133,closed,2024-07-31 11:34:04,2024-07-31 12:05:34,2024-07-31 12:04:00,PGP Signatures no longer valid? (Unknown system error),"I run 

```bash
curl -v https://github.com/tukaani-project/xz/releases/download/v5.6.2/xz-5.6.2.tar.gz -o xz.tar.gz
curl -v https://github.com/tukaani-project/xz/releases/download/v5.6.2/xz-5.6.2.tar.gz.sig -o xz.tar.gz.sig
gpg --verify xz.tar.gz.sig xz.tar.gz
```

And I get

```
gpg: verify signatures failed: Unknown system error
```

Am I doing something wrong?",https://github.com/tukaani-project/xz/issues/133,JonathanWilbur
132,closed,2024-07-30 11:19:55,2024-07-30 12:43:12,2024-07-30 12:43:12,[question] How is the backward compatibility support for future versions?,"Hello!

We have the xz project packaged in [Conan Center](https://conan.io/center/recipes/xz_utils?version=5.4.5) and are inclined to support version ranges, so users could install the latest version of xz, but compatible be with older versions too.

The ABI laboratory shows until the version 5.3.1 as backward comparible all previous versions: https://abi-laboratory.pro/?view=timeline&l=xz. I didn't find any explicit mention in the documentation or in other issue.

So, I would like to know if the project follows the same compatibility rule for 5.4.x and any future minor version should be backward compatible? ",https://github.com/tukaani-project/xz/issues/132,uilianries
129,closed,2024-07-02 12:16:47,2024-07-03 21:12:53,2024-07-03 21:12:53,CMake configure error in case '-DENABLE_NLS=ON' is given and cmake version is to old (e.g. 3.18.4),"CMake configure error incase '-DENABLE_NLS=ON' is given and cmake version is to old (e.g. 3.18.4):

      CMake Error at CMakeLists.txt:1675 (add_executable):
        Target ""xz"" links to target ""Intl::Intl"" but the target was not found.
        Perhaps a find_package() call is missing for an IMPORTED target, or an
        ALIAS target is missing?
    
      CMake Error at CMakeLists.txt:1619 (add_executable):
        Target ""lzmainfo"" links to target ""Intl::Intl"" but the target was not
        found.  Perhaps a find_package() call is missing for an IMPORTED target, or
        an ALIAS target is missing?
",https://github.com/tukaani-project/xz/issues/129,pseiderer
128,closed,2024-06-29 03:42:20,2024-09-24 12:31:55,2024-09-24 12:31:54,[Feature Request]: xz: add arm64 bcj filter support ,"Currently, the xz utils supports the arm64 bcj filter, the submission is as follows
**https://github.com/tukaani-project/xz/commit/8370ec8edf9ddf8d1d9fef03d8d1027503ec4c35**
However, the implementation in the kernel must be consistent with that in the xz utils. I find that the feature is not modified in the Linux kernel 5.10 or later versions. Does the xz community push patches to the Linux community?",https://github.com/tukaani-project/xz/issues/128,zzzpc
122,closed,2024-05-30 17:06:42,2024-06-17 15:28:37,2024-06-17 15:28:36,tsan also needs sanitizer nerf for crc64,"The `no_sanitize_address` nerf for crc64 also needs `no_sanitize_thread` since the tsan checker also looks for heap-use-after-free.

```
--- src/liblzma/check/crc64_fast.c	2023-11-01 12:19:29.000000000 +0000
+++ src/liblzma/check/crc64_fast.c-new	2024-05-30 16:56:41.935335535 +0000
@@ -209,11 +209,14 @@
 // The intrinsics use 16-byte-aligned reads from buf, thus they may read
 // up to 15 bytes before or after the buffer (depending on the alignment
 // of the buf argument). The values of the extra bytes are ignored.
-// This unavoidably trips -fsanitize=address so address sanitizier has
-// to be disabled for this function.
+// This unavoidably trips -fsanitize=address and -fsanitize=thread
+// so the sanitizers have to be disabled for this function.
 #if lzma_has_attribute(__no_sanitize_address__)
 __attribute__((__no_sanitize_address__))
 #endif
+#if lzma_has_attribute(__no_sanitize_thread__)
+__attribute__((__no_sanitize_thread__))
+#endif
 static uint64_t
 crc64_clmul(const uint8_t *buf, size_t size, uint64_t crc)
 {
```",https://github.com/tukaani-project/xz/issues/122,nate-thirdwave
121,closed,2024-05-18 14:24:21,2024-08-22 09:54:01,2024-08-22 09:53:22,Inline assembly in range_decoder.h is incompatible with old Binutils,"I just wanted to compile the latest src for xz 

in the absence of clear instructions on the opening page of the git repo, and the INSTALL file being a TLDR nightmare, after years of experience of compiling stuff, i used my intuition to try to compile it

so i `git clone https://github.com/tukaani-project/xz --depth=1`

(--depth=1, because i don't want to download all the commit history, which should not be necessary to build)

then i ran ./autogen.sh
and then ran ./configure
then ran make

(pretty standard universal compile steps, that work with most src using cmake/make)

then i got this error 

lzma/lzma_decoder.c: Assembler messages:
lzma/lzma_decoder.c:371: Error: no such instruction: `movzw 2(%r15),%esi'
lzma/lzma_decoder.c:373: Error: no such instruction: `movzw 4(%r15),%edi'
lzma/lzma_decoder.c:388: Error: no such instruction: `movzw 6(%r15),%edx'
lzma/lzma_decoder.c:398: Error: no such instruction: `movzw (%r15,%r14,4),%esi'
lzma/lzma_decoder.c:413: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:424: Error: no such instruction: `movzw (%r15,%r14,4),%edi'
lzma/lzma_decoder.c:439: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:450: Error: no such instruction: `movzw (%r15,%r14,4),%esi'
lzma/lzma_decoder.c:465: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:476: Error: no such instruction: `movzw (%r15,%r14,4),%edi'
lzma/lzma_decoder.c:491: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:502: Error: no such instruction: `movzw (%r15,%r14,4),%esi'
lzma/lzma_decoder.c:517: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:528: Error: no such instruction: `movzw (%r15,%r14,4),%edi'
lzma/lzma_decoder.c:543: Error: no such instruction: `movzw 2(%r15,%r14,4),%edx'
lzma/lzma_decoder.c:421: Error: no such instruction: `movzw 2(%rax),%edi'
lzma/lzma_decoder.c:423: Error: no such instruction: `movzw 4(%rax),%r10d'
lzma/lzma_decoder.c:438: Error: no such instruction: `movzw 6(%rax),%ecx'
lzma/lzma_decoder.c:448: Error: no such instruction: `movzw (%rax,%rdx,4),%edi'
lzma/lzma_decoder.c:463: Error: no such instruction: `movzw 2(%rax,%rdx,4),%ecx'
lzma/lzma_decoder.c:430: Error: no such instruction: `movzw 2(%r15),%esi'
lzma/lzma_decoder.c:432: Error: no such instruction: `movzw 4(%r15),%edi'
lzma/lzma_decoder.c:447: Error: no such instruction: `movzw 6(%r15),%eax'
lzma/lzma_decoder.c:457: Error: no such instruction: `movzw (%r15,%rdx,4),%esi'
lzma/lzma_decoder.c:472: Error: no such instruction: `movzw 2(%r15,%rdx,4),%eax'
lzma/lzma_decoder.c:483: Error: no such instruction: `movzw (%r15,%rdx,4),%edi'
lzma/lzma_decoder.c:498: Error: no such instruction: `movzw 2(%r15,%rdx,4),%eax'
lzma/lzma_decoder.c:509: Error: no such instruction: `movzw (%r15,%rdx,4),%esi'
lzma/lzma_decoder.c:524: Error: no such instruction: `movzw 2(%r15,%rdx,4),%eax'
lzma/lzma_decoder.c:535: Error: no such instruction: `movzw (%r15,%rdx,4),%edi'
lzma/lzma_decoder.c:550: Error: no such instruction: `movzw 2(%r15,%rdx,4),%eax'
lzma/lzma_decoder.c:487: Error: no such instruction: `movzw (%r15,%rdi,2),%r13d'
lzma/lzma_decoder.c:379: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:411: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:443: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:475: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:507: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:539: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:571: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:603: Error: no such instruction: `movzw (%r15,%r14,2),%r10d'
lzma/lzma_decoder.c:421: Error: no such instruction: `movzw 2(%rax),%edi'
lzma/lzma_decoder.c:423: Error: no such instruction: `movzw 4(%rax),%r10d'
lzma/lzma_decoder.c:438: Error: no such instruction: `movzw 6(%rax),%ecx'
lzma/lzma_decoder.c:448: Error: no such instruction: `movzw (%rax,%rdx,4),%edi'
lzma/lzma_decoder.c:463: Error: no such instruction: `movzw 2(%rax,%rdx,4),%ecx'
lzma/lzma_decoder.c:627: Error: no such instruction: `movzw 2(%rax),%esi'
lzma/lzma_decoder.c:629: Error: no such instruction: `movzw 4(%rax),%edi'
lzma/lzma_decoder.c:644: Error: no such instruction: `movzw 6(%rax),%edx'
lzma/lzma_decoder.c:654: Error: no such instruction: `movzw (%rax,%r14,4),%esi'
lzma/lzma_decoder.c:669: Error: no such instruction: `movzw 2(%rax,%r14,4),%edx'
lzma/lzma_decoder.c:627: Error: no such instruction: `movzw 2(%rax),%esi'
lzma/lzma_decoder.c:629: Error: no such instruction: `movzw 4(%rax),%edi'
lzma/lzma_decoder.c:644: Error: no such instruction: `movzw 6(%rax),%edx'
lzma/lzma_decoder.c:654: Error: no such instruction: `movzw (%rax,%r14,4),%esi'
lzma/lzma_decoder.c:669: Error: no such instruction: `movzw 2(%rax,%r14,4),%edx'
lzma/lzma_decoder.c:506: Error: no such instruction: `movzw 2(%r10),%esi'
lzma/lzma_decoder.c:508: Error: no such instruction: `movzw 4(%r10),%edi'
lzma/lzma_decoder.c:523: Error: no such instruction: `movzw 6(%r10),%edx'
lzma/lzma_decoder.c:533: Error: no such instruction: `movzw 8(%r10,%r14,2),%esi'
lzma/lzma_decoder.c:548: Error: no such instruction: `movzw 12(%r10,%r14,2),%edx'
lzma/lzma_decoder.c:559: Error: no such instruction: `movzw 16(%r10,%r14,2),%edi'
lzma/lzma_decoder.c:574: Error: no such instruction: `movzw 24(%r10,%r14,2),%edx'
lzma/lzma_decoder.c:421: Error: no such instruction: `movzw 2(%rcx),%edi'
lzma/lzma_decoder.c:423: Error: no such instruction: `movzw 4(%rcx),%r10d'
lzma/lzma_decoder.c:438: Error: no such instruction: `movzw 6(%rcx),%edx'
lzma/lzma_decoder.c:448: Error: no such instruction: `movzw (%rcx,%rax,4),%edi'
lzma/lzma_decoder.c:463: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:474: Error: no such instruction: `movzw (%rcx,%rax,4),%r10d'
lzma/lzma_decoder.c:489: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:500: Error: no such instruction: `movzw (%rcx,%rax,4),%edi'
lzma/lzma_decoder.c:515: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:526: Error: no such instruction: `movzw (%rcx,%rax,4),%r10d'
lzma/lzma_decoder.c:541: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:552: Error: no such instruction: `movzw (%rcx,%rax,4),%edi'
lzma/lzma_decoder.c:567: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:578: Error: no such instruction: `movzw (%rcx,%rax,4),%r10d'
lzma/lzma_decoder.c:593: Error: no such instruction: `movzw 2(%rcx,%rax,4),%edx'
lzma/lzma_decoder.c:627: Error: no such instruction: `movzw 2(%rdi),%ecx'
lzma/lzma_decoder.c:629: Error: no such instruction: `movzw 4(%rdi),%esi'
lzma/lzma_decoder.c:644: Error: no such instruction: `movzw 6(%rdi),%eax'
lzma/lzma_decoder.c:654: Error: no such instruction: `movzw (%rdi,%r14,4),%ecx'
lzma/lzma_decoder.c:669: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
lzma/lzma_decoder.c:680: Error: no such instruction: `movzw (%rdi,%r14,4),%esi'
lzma/lzma_decoder.c:695: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
lzma/lzma_decoder.c:706: Error: no such instruction: `movzw (%rdi,%r14,4),%ecx'
lzma/lzma_decoder.c:721: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
lzma/lzma_decoder.c:732: Error: no such instruction: `movzw (%rdi,%r14,4),%esi'
lzma/lzma_decoder.c:747: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
lzma/lzma_decoder.c:758: Error: no such instruction: `movzw (%rdi,%r14,4),%ecx'
lzma/lzma_decoder.c:773: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
lzma/lzma_decoder.c:784: Error: no such instruction: `movzw (%rdi,%r14,4),%esi'
lzma/lzma_decoder.c:799: Error: no such instruction: `movzw 2(%rdi,%r14,4),%eax'
Makefile:1482: recipe for target 'liblzma_la-lzma_decoder.lo' failed

what am i doing wrong and why are there no compile instructions on the main page?

i suggest you stick some basic compile instructions instead of that wall of text on the main page.",https://github.com/tukaani-project/xz/issues/121,wmjb
119,closed,2024-05-01 23:06:08,2024-05-02 13:37:18,2024-05-02 03:22:43,New releases are needed (to remove the username of the backdoor author),"Dear @Larhzu,

Several people would like that you do new releases (to remove the username of the backdoor author) and good asset files:
- https://github.com/tukaani-project/xz/releases

And maybe good to remove the 5.6.x tags too?
- https://github.com/tukaani-project/xz/tags

Note: Same in primary git source place.

Thanks in advance.",https://github.com/tukaani-project/xz/issues/119,Neustradamus
113,closed,2024-04-20 13:21:24,2024-05-01 23:23:45,2024-05-01 23:23:45,Making build pipeline simple,"Could release-pipeline and test-pipeline be separated? I mean release-pipeline should not be complicated or run any extra step, and test-pipeline should not release any artifact. Just to make easier to review release,

Also, maybe it is good to ban binary blobs. These blobs could be generated in the pipeline step or it should be mandatory to share steps to create these with the commit so it can be reviewed.

",https://github.com/tukaani-project/xz/issues/113,Yabgu
